SELECTION SORT
Line[400]: 00:004 sec/mil
Line[401]: 00:004 sec/mil
Line[402]: 00:005 sec/mil
Line[403]: 00:004 sec/mil
Line[404]: 00:004 sec/mil
Line[405]: 00:005 sec/mil
Line[406]: 00:004 sec/mil
Line[407]: 00:005 sec/mil
Line[408]: 00:004 sec/mil
Line[409]: 00:004 sec/mil
Line[410]: 00:005 sec/mil
Line[411]: 00:004 sec/mil
Line[412]: 00:004 sec/mil
Line[413]: 00:004 sec/mil
Line[414]: 00:004 sec/mil
Line[415]: 00:005 sec/mil
Line[416]: 00:004 sec/mil
Line[417]: 00:004 sec/mil
Line[418]: 00:005 sec/mil
Line[419]: 00:004 sec/mil
Line[420]: 00:004 sec/mil
Line[421]: 00:005 sec/mil
Line[422]: 00:004 sec/mil
Line[423]: 00:004 sec/mil
Line[424]: 00:005 sec/mil
Line[425]: 00:004 sec/mil
Line[426]: 00:004 sec/mil
Line[427]: 00:005 sec/mil
Line[428]: 00:004 sec/mil
Line[429]: 00:004 sec/mil
Line[430]: 00:005 sec/mil
Line[431]: 00:004 sec/mil
Line[432]: 00:004 sec/mil
Line[433]: 00:005 sec/mil
Line[434]: 00:004 sec/mil
Line[435]: 00:004 sec/mil
Line[436]: 00:005 sec/mil
Line[437]: 00:004 sec/mil
Line[438]: 00:004 sec/mil
Line[439]: 00:005 sec/mil
Line[440]: 00:004 sec/mil
Line[441]: 00:004 sec/mil
Line[442]: 00:004 sec/mil
Line[443]: 00:004 sec/mil
Line[444]: 00:004 sec/mil
Line[445]: 00:004 sec/mil
Line[446]: 00:004 sec/mil
Line[447]: 00:004 sec/mil
Line[448]: 00:004 sec/mil
Line[449]: 00:004 sec/mil
Line[450]: 00:004 sec/mil
Line[451]: 00:004 sec/mil
Line[452]: 00:004 sec/mil
Line[453]: 00:005 sec/mil
Line[454]: 00:004 sec/mil
Line[455]: 00:004 sec/mil
Line[456]: 00:005 sec/mil
Line[457]: 00:004 sec/mil
Line[458]: 00:004 sec/mil
Line[459]: 00:005 sec/mil
Line[460]: 00:004 sec/mil
Line[461]: 00:004 sec/mil
Line[462]: 00:005 sec/mil
Line[463]: 00:004 sec/mil
Line[464]: 00:004 sec/mil
Line[465]: 00:004 sec/mil
Line[466]: 00:004 sec/mil
Line[467]: 00:004 sec/mil
Line[468]: 00:004 sec/mil
Line[469]: 00:004 sec/mil
Line[470]: 00:004 sec/mil
Line[471]: 00:004 sec/mil
Line[472]: 00:004 sec/mil
Line[473]: 00:004 sec/mil
Line[474]: 00:004 sec/mil
Line[475]: 00:004 sec/mil
Line[476]: 00:005 sec/mil
Line[477]: 00:005 sec/mil
Line[478]: 00:004 sec/mil
Line[479]: 00:004 sec/mil
Line[480]: 00:005 sec/mil
Line[481]: 00:008 sec/mil
Line[482]: 00:004 sec/mil
Line[483]: 00:004 sec/mil
Line[484]: 00:005 sec/mil
Line[485]: 00:004 sec/mil
Line[486]: 00:004 sec/mil
Line[487]: 00:004 sec/mil
Line[488]: 00:004 sec/mil
Line[489]: 00:004 sec/mil
Line[490]: 00:004 sec/mil
Line[491]: 00:004 sec/mil
Line[492]: 00:005 sec/mil
Line[493]: 00:004 sec/mil
Line[494]: 00:004 sec/mil
Line[495]: 00:005 sec/mil
Line[496]: 00:004 sec/mil
Line[497]: 00:004 sec/mil
Line[498]: 00:004 sec/mil
Line[499]: 00:004 sec/mil
Line[500]: 00:004 sec/mil
Line[501]: 00:004 sec/mil
Line[502]: 00:005 sec/mil
